Timestamp,User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation
9/3/2023 10:00,user1,Video_Call,-75 dBm,30 ms,10 Mbps,15 Mbps,70%
9/3/2023 10:00,user1,VoIP_Call,-80 dBm,20 ms,100 Kbps,120 Kbps,80%
9/3/2023 10:00,user1,Streaming,-85 dBm,40 ms,5 Mbps,6 Mbps,75%
9/3/2023 10:00,user1,Emergency_Service,-70 dBm,10 ms,1 Mbps,1.5 Mbps,90%
9/3/2023 10:00,user1,Online_Gaming,-78 dBm,25 ms,2 Mbps,3 Mbps,85%
9/3/2023 10:00,user1,File_Download,-90 dBm,50 ms,500 Kbps,550 Kbps,70%
9/3/2023 10:00,user1,Web_Browsing,-88 dBm,30 ms,1 Mbps,1 Mbps,60%
9/3/2023 10:00,user1,IoT_Temperature,-95 dBm,100 ms,10 Kbps,15 Kbps,50%
9/3/2023 10:00,user1,Streaming,-82 dBm,35 ms,3 Mbps,3.5 Mbps,80%
9/3/2023 10:00,user1,File_Download,-75 dBm,45 ms,2 Mbps,2 Mbps,70%
9/3/2023 10:00,user1,Video_Call,-76 dBm,32 ms,12 Mbps,14 Mbps,70%
9/3/2023 10:00,user1,Online_Gaming,-79 dBm,24 ms,2.5 Mbps,2.8 Mbps,75%
9/3/2023 10:00,user1,Web_Browsing,-87 dBm,28 ms,1.2 Mbps,1.2 Mbps,65%
9/3/2023 10:00,user1,VoIP_Call,-81 dBm,22 ms,150 Kbps,170 Kbps,85%
9/3/2023 10:00,user1,Video_Call,-74 dBm,29 ms,10 Mbps,12 Mbps,60%
9/3/2023 10:00,user1,Streaming,-84 dBm,38 ms,4.5 Mbps,5 Mbps,70%
9/3/2023 10:00,user1,Emergency_Service,-69 dBm,9 ms,1.2 Mbps,1.3 Mbps,80%
9/3/2023 10:00,user1,File_Download,-91 dBm,48 ms,600 Kbps,600 Kbps,55%
9/3/2023 10:00,user1,IoT_Temperature,-96 dBm,105 ms,8 Kbps,9 Kbps,70%
9/3/2023 10:00,user1,Streaming,-83 dBm,34 ms,3.2 Mbps,3.5 Mbps,75%
9/3/2023 10:00,user1,Video_Call,-77 dBm,31 ms,11 Mbps,13 Mbps,75%
9/3/2023 10:00,user1,Online_Gaming,-80 dBm,23 ms,2.2 Mbps,2.5 Mbps,80%
9/3/2023 10:00,user1,Web_Browsing,-86 dBm,29 ms,1.4 Mbps,1.4 Mbps,70%
9/3/2023 10:00,user1,VoIP_Call,-82 dBm,21 ms,160 Kbps,180 Kbps,90%
9/3/2023 10:00,user1,Video_Call,-73 dBm,28 ms,10.5 Mbps,12.5 Mbps,75%
9/3/2023 10:00,user1,Streaming,-83 dBm,37 ms,4.2 Mbps,4.8 Mbps,85%
9/3/2023 10:00,user1,Emergency_Service,-68 dBm,8 ms,1.1 Mbps,1.2 Mbps,70%
9/3/2023 10:00,user1,File_Download,-92 dBm,47 ms,620 Kbps,620 Kbps,60%
9/3/2023 10:00,user1,IoT_Temperature,-97 dBm,110 ms,7 Kbps,8 Kbps,65%
9/3/2023 10:00,user1,Streaming,-84 dBm,33 ms,3.4 Mbps,3.7 Mbps,70%
9/3/2023 10:00,user1,Video_Call,-78 dBm,30 ms,10.2 Mbps,12.2 Mbps,75%
9/3/2023 10:00,user1,Online_Gaming,-79 dBm,24 ms,2.3 Mbps,2.6 Mbps,80%
9/3/2023 10:00,user1,Web_Browsing,-88 dBm,27 ms,1.3 Mbps,1.3 Mbps,70%
9/3/2023 10:00,user1,VoIP_Call,-83 dBm,20 ms,170 Kbps,190 Kbps,90%
9/3/2023 10:00,user1,Video_Call,-72 dBm,27 ms,10.8 Mbps,12.8 Mbps,75%
9/3/2023 10:00,user1,Streaming,-82 dBm,36 ms,4.0 Mbps,4.6 Mbps,85%
9/3/2023 10:00,user1,Emergency_Service,-67 dBm,7 ms,1.0 Mbps,1.1 Mbps,70%
9/3/2023 10:00,user1,File_Download,-93 dBm,46 ms,630 Kbps,630 Kbps,60%
9/3/2023 10:00,user1,IoT_Temperature,-98 dBm,105 ms,6 Kbps,7 Kbps,65%
9/3/2023 10:00,user1,Streaming,-85 dBm,32 ms,3.5 Mbps,3.8 Mbps,70%
9/3/2023 10:00,user1,Video_Call,-79 dBm,29 ms,10.5 Mbps,12.3 Mbps,70%
9/3/2023 10:00,user1,Online_Gaming,-78 dBm,25 ms,2.4 Mbps,2.7 Mbps,75%
9/3/2023 10:00,user1,Web_Browsing,-87 dBm,28 ms,1.2 Mbps,1.2 Mbps,70%
9/3/2023 10:00,user1,VoIP_Call,-84 dBm,20 ms,165 Kbps,185 Kbps,90%
9/3/2023 10:00,user1,Video_Call,-71 dBm,26 ms,10.2 Mbps,12.6 Mbps,80%
9/3/2023 10:00,user1,Streaming,-81 dBm,35 ms,3.8 Mbps,4.4 Mbps,85%
9/3/2023 10:00,user1,Emergency_Service,-66 dBm,7 ms,1.1 Mbps,1.2 Mbps,70%
9/3/2023 10:00,user1,File_Download,-94 dBm,45 ms,640 Kbps,640 Kbps,60%
9/3/2023 10:00,user1,IoT_Temperature,-99 dBm,104 ms,5 Kbps,6 Kbps,65%
9/3/2023 10:00,user1,Streaming,-86 dBm,31 ms,3.6 Mbps,3.9 Mbps,70%
9/3/2023 10:01,user1,Video_Call,-80 dBm,30 ms,11 Mbps,12.5 Mbps,80%
9/3/2023 10:01,user1,Online_Gaming,-77 dBm,24 ms,2.6 Mbps,2.9 Mbps,85%
9/3/2023 10:01,user1,Web_Browsing,-89 dBm,27 ms,1.1 Mbps,1.1 Mbps,70%
9/3/2023 10:01,user1,VoIP_Call,-85 dBm,21 ms,160 Kbps,190 Kbps,90%
9/3/2023 10:01,user1,Video_Call,-70 dBm,27 ms,10.7 Mbps,12.3 Mbps,75%
9/3/2023 10:01,user1,Streaming,-80 dBm,35 ms,4.1 Mbps,4.7 Mbps,85%
9/3/2023 10:01,user1,Emergency_Service,-65 dBm,8 ms,1.0 Mbps,1.1 Mbps,70%
9/3/2023 10:01,user1,File_Download,-95 dBm,46 ms,650 Kbps,650 Kbps,60%
9/3/2023 10:01,user1,IoT_Temperature,-100 dBm,103 ms,4 Kbps,5 Kbps,75%
9/3/2023 10:01,user1,Streaming,-87 dBm,32 ms,3.7 Mbps,4.0 Mbps,70%
9/3/2023 10:01,user1,Video_Call,-81 dBm,29 ms,10.3 Mbps,12.1 Mbps,70%
9/3/2023 10:01,user1,Online_Gaming,-76 dBm,23 ms,2.7 Mbps,3.0 Mbps,80%
9/3/2023 10:01,user1,Web_Browsing,-90 dBm,26 ms,1.0 Mbps,1.0 Mbps,70%
9/3/2023 10:01,user1,VoIP_Call,-86 dBm,20 ms,155 Kbps,180 Kbps,90%
9/3/2023 10:01,user1,Video_Call,-69 dBm,26 ms,10.9 Mbps,12.4 Mbps,75%
9/3/2023 10:01,user1,Streaming,-79 dBm,34 ms,4.3 Mbps,4.9 Mbps,85%
9/3/2023 10:01,user1,Emergency_Service,-64 dBm,7 ms,1.0 Mbps,1.1 Mbps,70%
9/3/2023 10:01,user1,File_Download,-96 dBm,45 ms,660 Kbps,660 Kbps,60%
9/3/2023 10:01,user1,IoT_Temperature,-101 dBm,102 ms,3 Kbps,4 Kbps,75%
9/3/2023 10:01,user1,Streaming,-88 dBm,31 ms,3.8 Mbps,4.1 Mbps,70%
9/3/2023 10:01,user1,Video_Call,-82 dBm,28 ms,10.7 Mbps,12.2 Mbps,70%
9/3/2023 10:01,user1,Online_Gaming,-75 dBm,22 ms,2.8 Mbps,3.1 Mbps,80%
9/3/2023 10:01,user1,Web_Browsing,-91 dBm,25 ms,0.9 Mbps,0.9 Mbps,70%
9/3/2023 10:01,user1,VoIP_Call,-87 dBm,19 ms,150 Kbps,175 Kbps,90%
9/3/2023 10:01,user1,Video_Call,-68 dBm,25 ms,11.0 Mbps,12.5 Mbps,75%
9/3/2023 10:01,user1,Streaming,-78 dBm,33 ms,4.4 Mbps,5.0 Mbps,85%
9/3/2023 10:01,user1,Emergency_Service,-63 dBm,6 ms,0.9 Mbps,1.0 Mbps,70%
9/3/2023 10:01,user1,File_Download,-97 dBm,44 ms,670 Kbps,670 Kbps,60%
9/3/2023 10:01,user1,IoT_Temperature,-102 dBm,101 ms,2 Kbps,3 Kbps,75%
9/3/2023 10:01,user1,Streaming,-89 dBm,30 ms,3.9 Mbps,4.2 Mbps,70%
9/3/2023 10:01,user1,Video_Call,-83 dBm,27 ms,10.8 Mbps,12.0 Mbps,70%
9/3/2023 10:01,user1,Online_Gaming,-74 dBm,21 ms,2.9 Mbps,3.2 Mbps,80%
9/3/2023 10:01,user1,Web_Browsing,-92 dBm,24 ms,0.8 Mbps,0.8 Mbps,70%
9/3/2023 10:01,user1,VoIP_Call,-88 dBm,18 ms,145 Kbps,170 Kbps,90%
9/3/2023 10:01,user1,Video_Call,-67 dBm,24 ms,11.2 Mbps,12.8 Mbps,75%
9/3/2023 10:01,user1,Streaming,-77 dBm,32 ms,4.5 Mbps,5.1 Mbps,85%
9/3/2023 10:01,user1,Emergency_Service,-62 dBm,6 ms,0.8 Mbps,0.9 Mbps,70%
9/3/2023 10:01,user1,File_Download,-98 dBm,43 ms,680 Kbps,680 Kbps,60%
9/3/2023 10:01,user1,IoT_Temperature,-103 dBm,100 ms,1 Kbps,2 Kbps,75%
9/3/2023 10:01,user1,Streaming,-90 dBm,29 ms,4.0 Mbps,4.3 Mbps,70%
9/3/2023 10:01,user1,Video_Call,-84 dBm,26 ms,10.9 Mbps,12.1 Mbps,70%
9/3/2023 10:01,user1,Online_Gaming,-73 dBm,20 ms,3.0 Mbps,3.3 Mbps,80%
9/3/2023 10:01,user1,Web_Browsing,-93 dBm,23 ms,0.7 Mbps,0.7 Mbps,70%
9/3/2023 10:01,user1,VoIP_Call,-89 dBm,17 ms,140 Kbps,165 Kbps,90%
9/3/2023 10:01,user1,Video_Call,-66 dBm,23 ms,11.4 Mbps,12.7 Mbps,75%
9/3/2023 10:01,user1,Streaming,-76 dBm,31 ms,4.6 Mbps,5.2 Mbps,85%
9/3/2023 10:01,user1,Emergency_Service,-61 dBm,6 ms,0.7 Mbps,0.8 Mbps,70%
9/3/2023 10:01,user1,File_Download,-99 dBm,42 ms,690 Kbps,690 Kbps,60%
9/3/2023 10:01,user1,IoT_Temperature,-104 dBm,99 ms,1 Kbps,2 Kbps,75%
9/3/2023 10:01,user1,Streaming,-91 dBm,28 ms,4.1 Mbps,4.4 Mbps,70%
9/3/2023 10:01,user1,VoIP_Call,-86 dBm,18 ms,155 Kbps,180 Kbps,90%
9/3/2023 10:01,user1,Online_Gaming,-74 dBm,22 ms,2.9 Mbps,3.2 Mbps,80%
9/3/2023 10:01,user1,Web_Browsing,-92 dBm,25 ms,0.8 Mbps,0.8 Mbps,70%
9/3/2023 10:01,user1,Video_Call,-67 dBm,24 ms,11.2 Mbps,12.5 Mbps,75%
9/3/2023 10:01,user1,Streaming,-77 dBm,32 ms,4.5 Mbps,5.1 Mbps,85%
9/3/2023 10:01,user1,Emergency_Service,-62 dBm,6 ms,0.8 Mbps,0.9 Mbps,70%
9/3/2023 10:01,user1,File_Download,-97 dBm,44 ms,670 Kbps,670 Kbps,60%
9/3/2023 10:01,user1,IoT_Temperature,-103 dBm,100 ms,1 Kbps,2 Kbps,75%
9/3/2023 10:01,user1,Streaming,-90 dBm,29 ms,4.0 Mbps,4.3 Mbps,70%
9/3/2023 10:01,user1,VoIP_Call,-85 dBm,19 ms,150 Kbps,175 Kbps,90%
9/3/2023 10:02,user1,Video_Call,-83 dBm,27 ms,10.8 Mbps,12.0 Mbps,70%
9/3/2023 10:02,user1,Online_Gaming,-72 dBm,21 ms,3.1 Mbps,3.4 Mbps,80%
9/3/2023 10:02,user1,Web_Browsing,-94 dBm,24 ms,0.7 Mbps,0.7 Mbps,70%
9/3/2023 10:02,user1,VoIP_Call,-88 dBm,18 ms,145 Kbps,170 Kbps,90%
9/3/2023 10:02,user1,Video_Call,-68 dBm,25 ms,11.4 Mbps,12.7 Mbps,75%
9/3/2023 10:02,user1,Streaming,-76 dBm,31 ms,4.6 Mbps,5.2 Mbps,85%
9/3/2023 10:02,user1,Emergency_Service,-61 dBm,6 ms,0.7 Mbps,0.8 Mbps,70%
9/3/2023 10:02,user1,File_Download,-98 dBm,43 ms,680 Kbps,680 Kbps,60%
9/3/2023 10:02,user1,IoT_Temperature,-102 dBm,99 ms,1 Kbps,2 Kbps,75%
9/3/2023 10:02,user1,Streaming,-89 dBm,30 ms,4.1 Mbps,4.4 Mbps,70%
9/3/2023 10:02,user1,VoIP_Call,-86 dBm,19 ms,155 Kbps,180 Kbps,90%
9/3/2023 10:02,user1,Online_Gaming,-74 dBm,22 ms,2.9 Mbps,3.2 Mbps,80%
9/3/2023 10:02,user1,Web_Browsing,-92 dBm,25 ms,0.8 Mbps,0.8 Mbps,70%
9/3/2023 10:02,user1,Video_Call,-67 dBm,24 ms,11.2 Mbps,12.5 Mbps,75%
9/3/2023 10:02,user1,Streaming,-77 dBm,32 ms,4.5 Mbps,5.1 Mbps,85%
9/3/2023 10:02,user1,Emergency_Service,-62 dBm,6 ms,0.8 Mbps,0.9 Mbps,70%
9/3/2023 10:02,user1,File_Download,-97 dBm,44 ms,670 Kbps,670 Kbps,60%
9/3/2023 10:02,user1,IoT_Temperature,-103 dBm,100 ms,1 Kbps,2 Kbps,75%
9/3/2023 10:02,user1,Streaming,-90 dBm,29 ms,4.0 Mbps,4.3 Mbps,70%
9/3/2023 10:02,user1,Video_Call,-85 dBm,19 ms,150 Kbps,175 Kbps,90%
9/3/2023 10:02,user1,Web_Browsing,-85 dBm,28 ms,1.5 Mbps,1.5 Mbps,70%
9/3/2023 10:02,user1,File_Download,-99 dBm,46 ms,620 Kbps,620 Kbps,60%
9/3/2023 10:02,user1,VoIP_Call,-88 dBm,20 ms,130 Kbps,155 Kbps,90%
9/3/2023 10:02,user1,Streaming,-75 dBm,30 ms,5.0 Mbps,5.7 Mbps,85%
9/3/2023 10:02,user1,Video_Call,-66 dBm,26 ms,11.0 Mbps,12.3 Mbps,75%
9/3/2023 10:02,user1,Streaming,-80 dBm,29 ms,4.2 Mbps,4.6 Mbps,70%
9/3/2023 10:02,user1,Emergency_Service,-60 dBm,5 ms,0.9 Mbps,1.0 Mbps,70%
9/3/2023 10:02,user1,Web_Browsing,-94 dBm,27 ms,0.6 Mbps,0.6 Mbps,70%
9/3/2023 10:02,user1,File_Download,-96 dBm,45 ms,660 Kbps,660 Kbps,60%
9/3/2023 10:02,user1,Online_Gaming,-72 dBm,20 ms,3.2 Mbps,3.5 Mbps,80%
9/3/2023 10:02,user1,Streaming,-78 dBm,32 ms,4.4 Mbps,5.0 Mbps,85%
9/3/2023 10:02,user1,Video_Call,-67 dBm,27 ms,11.1 Mbps,12.4 Mbps,75%
9/3/2023 10:02,user1,Streaming,-81 dBm,28 ms,4.1 Mbps,4.5 Mbps,70%
9/3/2023 10:02,user1,Emergency_Service,-59 dBm,5 ms,0.9 Mbps,1.1 Mbps,70%
9/3/2023 10:02,user1,Web_Browsing,-95 dBm,26 ms,0.7 Mbps,0.7 Mbps,70%
9/3/2023 10:02,user1,File_Download,-95 dBm,47 ms,610 Kbps,610 Kbps,60%
9/3/2023 10:02,user1,VoIP_Call,-87 dBm,21 ms,125 Kbps,150 Kbps,90%
9/3/2023 10:02,user1,Online_Gaming,-71 dBm,19 ms,3.3 Mbps,3.6 Mbps,80%
9/3/2023 10:02,user1,Streaming,-79 dBm,33 ms,4.3 Mbps,4.8 Mbps,85%
9/3/2023 10:02,user1,Video_Call,-68 dBm,28 ms,11.3 Mbps,12.6 Mbps,75%
9/3/2023 10:02,user1,Streaming,-82 dBm,30 ms,4.0 Mbps,4.4 Mbps,70%
9/3/2023 10:02,user1,Emergency_Service,-58 dBm,5 ms,0.8 Mbps,1.0 Mbps,70%
9/3/2023 10:02,user1,Web_Browsing,-96 dBm,25 ms,0.6 Mbps,0.6 Mbps,70%
9/3/2023 10:02,user1,File_Download,-94 dBm,48 ms,650 Kbps,650 Kbps,60%
9/3/2023 10:02,user1,VoIP_Call,-86 dBm,22 ms,120 Kbps,145 Kbps,90%
9/3/2023 10:02,user1,Streaming,-80 dBm,31 ms,4.4 Mbps,4.9 Mbps,85%
9/3/2023 10:02,user1,Video_Call,-66 dBm,25 ms,11.5 Mbps,12.8 Mbps,75%
9/3/2023 10:02,user1,Streaming,-83 dBm,31 ms,4.0 Mbps,4.4 Mbps,70%
9/3/2023 10:02,user1,Emergency_Service,-58 dBm,5 ms,0.8 Mbps,1.0 Mbps,70%
9/3/2023 10:02,user1,Web_Browsing,-97 dBm,24 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:02,user1,File_Download,-97 dBm,49 ms,640 Kbps,640 Kbps,60%
9/3/2023 10:02,user1,VoIP_Call,-85 dBm,23 ms,115 Kbps,140 Kbps,90%
9/3/2023 10:02,user1,Online_Gaming,-70 dBm,18 ms,3.4 Mbps,3.7 Mbps,80%
9/3/2023 10:02,user1,Streaming,-81 dBm,32 ms,4.2 Mbps,4.7 Mbps,85%
9/3/2023 10:02,user1,Video_Call,-65 dBm,24 ms,11.6 Mbps,12.9 Mbps,75%
9/3/2023 10:02,user1,Streaming,-84 dBm,30 ms,3.9 Mbps,4.3 Mbps,70%
9/3/2023 10:02,user1,Emergency_Service,-57 dBm,5 ms,0.7 Mbps,0.9 Mbps,70%
9/3/2023 10:02,user1,Web_Browsing,-97 dBm,23 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:02,user1,File_Download,-98 dBm,50 ms,630 Kbps,630 Kbps,60%
9/3/2023 10:02,user1,VoIP_Call,-84 dBm,24 ms,110 Kbps,135 Kbps,90%
9/3/2023 10:03,user1,Online_Gaming,-69 dBm,19 ms,3.5 Mbps,3.8 Mbps,80%
9/3/2023 10:03,user1,Streaming,-82 dBm,33 ms,4.1 Mbps,4.6 Mbps,85%
9/3/2023 10:03,user1,Video_Call,-64 dBm,25 ms,11.7 Mbps,13.0 Mbps,75%
9/3/2023 10:03,user1,Streaming,-85 dBm,29 ms,3.8 Mbps,4.2 Mbps,70%
9/3/2023 10:03,user1,Emergency_Service,-57 dBm,5 ms,0.7 Mbps,0.8 Mbps,70%
9/3/2023 10:03,user1,Web_Browsing,-98 dBm,22 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:03,user1,File_Download,-98 dBm,51 ms,620 Kbps,620 Kbps,60%
9/3/2023 10:03,user1,VoIP_Call,-83 dBm,25 ms,105 Kbps,130 Kbps,90%
9/3/2023 10:03,user1,Online_Gaming,-68 dBm,20 ms,3.6 Mbps,3.9 Mbps,80%
9/3/2023 10:03,user1,Streaming,-83 dBm,34 ms,4.0 Mbps,4.5 Mbps,85%
9/3/2023 10:03,user1,Video_Call,-63 dBm,26 ms,11.8 Mbps,13.1 Mbps,75%
9/3/2023 10:03,user1,Streaming,-86 dBm,31 ms,3.7 Mbps,4.1 Mbps,70%
9/3/2023 10:03,user1,Emergency_Service,-56 dBm,5 ms,0.7 Mbps,0.8 Mbps,70%
9/3/2023 10:03,user1,Web_Browsing,-98 dBm,21 ms,0.5 Mbps,0.5 Mbps,70%
9/3/2023 10:03,user1,File_Download,-99 dBm,52 ms,610 Kbps,610 Kbps,60%
9/3/2023 10:03,user1,VoIP_Call,-82 dBm,26 ms,100 Kbps,125 Kbps,90%
9/3/2023 10:03,user1,Online_Gaming,-67 dBm,21 ms,3.7 Mbps,4.0 Mbps,80%
9/3/2023 10:03,user1,Streaming,-84 dBm,35 ms,3.9 Mbps,4.4 Mbps,85%
9/3/2023 10:03,user1,Video_Call,-63 dBm,27 ms,11.9 Mbps,13.2 Mbps,75%
9/3/2023 10:03,user1,Streaming,-87 dBm,32 ms,3.6 Mbps,4.0 Mbps,70%
9/3/2023 10:03,user1,Emergency_Service,-55 dBm,5 ms,0.7 Mbps,0.8 Mbps,70%
9/3/2023 10:03,user1,Web_Browsing,-99 dBm,20 ms,0.4 Mbps,0.4 Mbps,70%
9/3/2023 10:03,user1,File_Download,-100 dBm,53 ms,600 Kbps,600 Kbps,60%
9/3/2023 10:03,user1,VoIP_Call,-81 dBm,27 ms,95 Kbps,120 Kbps,90%
9/3/2023 10:03,user1,Online_Gaming,-66 dBm,22 ms,3.8 Mbps,4.1 Mbps,80%
9/3/2023 10:03,user1,Streaming,-85 dBm,36 ms,3.8 Mbps,4.3 Mbps,85%
9/3/2023 10:03,user1,Video_Call,-62 dBm,28 ms,12.0 Mbps,13.3 Mbps,75%
9/3/2023 10:03,user1,Streaming,-88 dBm,33 ms,3.5 Mbps,3.9 Mbps,70%
9/3/2023 10:03,user1,Emergency_Service,-54 dBm,5 ms,0.6 Mbps,0.7 Mbps,70%
